Ticker,Name,Sector,Industry,MarketCap,CapBucket
AACB,Artius II Acquisition Inc.,Financial Services,Shell Companies,284914112.0,Micro
AACBR,Artius II Acquisition Inc.,,,,Unknown
AACBU,Artius II Acquisition Inc.,Financial Services,Shell Companies,266099744.0,Micro
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,23638710.0,Micro
AADR,AdvisorShares Dorsey Wright,,,,Unknown
AAEQ,Alpha Architect US Equity 2 ETF,,,,Unknown
AAL,"American Airlines Group, Inc.",Industrials,Airlines,10191734784.0,Large
AALG,Leverage Shares 2X Long AAL Dai,,,,Unknown
AAME,Atlantic American Corporation,Financial Services,Insurance - Life,52012932.0,Micro
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,2537963264.0,Mid
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,6185412096.0,Mid
AAPB,GraniteShares 2x Long AAPL Dail,,,,Unknown
AAPD,Direxion Daily AAPL Bear 1X Sha,,,,Unknown
AAPG,Ascentage Pharma Group Internat,Healthcare,Biotechnology,2589472512.0,Mid
AAPL,Apple Inc.,Technology,Consumer Electronics,4057362333696.0,Large
AAPU,Direxion Daily AAPL Bull 2X Sha,,,,Unknown
AARD,"Aardvark Therapeutics, Inc.",Healthcare,Biotechnology,297205152.0,Micro
AAUS,Alpha Architect US Equity ETF,,,,Unknown
AAVM,Alpha Architect Global Factor E,,,,Unknown
AAXJ,iShares MSCI All Country Asia e,,,,Unknown
ABAT,American Battery Technology Com,Industrials,Waste Management,496485248.0,Small
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,1071619392.0,Small
ABCS,Alpha Blue Capital US Small-Mid,,,,Unknown
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,295342912.0,Micro
ABI,VictoryShares Pioneer Asset-Bas,,,,Unknown
ABIG,Argent Large Cap ETF,,,,Unknown
ABL,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,830899264.0,Small
ABLLL,"Abacus Global Management, Inc. ",,,,Unknown
ABLV,Able View Global Inc.,Consumer Cyclical,Specialty Retail,32602288.0,Micro
ABLVW,Able View Global Inc. Warrant,,,,Unknown
