Ticker,Name,Sector,Industry,MarketCap,CapBucket
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,39233622016.0,Large
AAPL,Apple Inc.,Technology,Consumer Electronics,4057362333696.0,Large
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,406463086592.0,Large
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,83766083584.0,Large
ABT,Abbott Laboratories,Healthcare,Medical Devices,217278889984.0,Large
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,35780628480.0,Large
ACN,Accenture plc,Technology,Information Technology Services,168113438720.0,Large
ADBE,Adobe Inc.,Technology,Software - Application,150081961984.0,Large
ADI,"Analog Devices, Inc.",Technology,Semiconductors,135555842048.0,Large
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,27829792768.0,Large
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,104853364736.0,Large
ADSK,"Autodesk, Inc.",Technology,Software - Application,64051228672.0,Large
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,26998095872.0,Large
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,61914169344.0,Large
AES,The AES Corporation,Utilities,Utilities - Diversified,10019542016.0,Large
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,58777980928.0,Large
AIG,"American International Group, I",Financial Services,Insurance - Diversified,47910252544.0,Large
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,12116770816.0,Large
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,67149373440.0,Large
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,12720563200.0,Large
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,17655805952.0,Large
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,11479665664.0,Large
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,54756409344.0,Large
ALLE,Allegion plc,Industrials,Security & Protection Services,13833076736.0,Large
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,208640655360.0,Large
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,19205554176.0,Large
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,350012669952.0,Large
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,48142352384.0,Large
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,179276349440.0,Large
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,47308300288.0,Large
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,82604204032.0,Large
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2485688991744.0,Large
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,166024151040.0,Large
AON,Aon plc,Financial Services,Insurance Brokers,76903219200.0,Large
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,9495181312.0,Mid
APA,APA Corporation,Energy,Oil & Gas E&P,8651277312.0,Mid
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,55073652736.0,Large
APH,Amphenol Corporation,Technology,Electronic Components,168221949952.0,Large
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,86204366848.0,Large
APP,Applovin Corporation,Communication Services,Advertising Agencies,241588240384.0,Large
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,16747908096.0,Large
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,8399297536.0,Mid
